Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl
1841-10-01 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-585_activity-7000000000000000-AaAa,PUBLIC,Sharing this piece on hospital mortality statistics — worth reading if you work on similar questions.,
1850-10-15 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-366_activity-7000000000000001-AaAa,PUBLIC,Sharing this piece on Jacquard loom patterns — worth reading if you work on similar questions.,https://example.com/media/share-jacquard-loom-patterns.png
1848-04-28 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-213_activity-7000000000000002-AaAa,CONNECTIONS,Sharing this piece on astronomy photography — worth reading if you work on similar questions.,https://example.com/media/share-astronomy-photography.png
1842-01-11 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-762_activity-7000000000000003-AaAa,CONNECTIONS,Sharing this piece on Translator's Notes — worth reading if you work on similar questions.,
1845-11-02 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-805_activity-7000000000000004-AaAa,PUBLIC,Sharing this piece on hospital mortality statistics — worth reading if you work on similar questions.,
1845-10-16 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-82_activity-7000000000000005-AaAa,PUBLIC,Sharing this piece on the state of Cambridge mathematics — worth reading if you work on similar questions.,https://example.com/media/share-the-state-of-cambridge-mathematics.png
1840-05-03 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-143_activity-7000000000000006-AaAa,CONNECTIONS,Sharing this piece on the new Analytical Engine spec — worth reading if you work on similar questions.,https://example.com/media/share-the-new-analytical-engine-spec.png
1846-03-18 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-337_activity-7000000000000007-AaAa,CONNECTIONS,Sharing this piece on Jacquard loom patterns — worth reading if you work on similar questions.,
1848-03-02 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-670_activity-7000000000000008-AaAa,PUBLIC,Sharing this piece on operational-card notation — worth reading if you work on similar questions.,
1849-08-07 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-946_activity-7000000000000009-AaAa,CONNECTIONS,Sharing this piece on operational-card notation — worth reading if you work on similar questions.,https://example.com/media/share-operational-card-notation.png
1844-04-21 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-307_activity-7000000000000010-AaAa,CONNECTIONS,Sharing this piece on Translator's Notes — worth reading if you work on similar questions.,
1848-05-01 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-785_activity-7000000000000011-AaAa,PUBLIC,Sharing this piece on astronomy photography — worth reading if you work on similar questions.,
1843-08-21 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-761_activity-7000000000000012-AaAa,PUBLIC,Sharing this piece on the new Analytical Engine spec — worth reading if you work on similar questions.,https://example.com/media/share-the-new-analytical-engine-spec.png
1840-05-17 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-758_activity-7000000000000013-AaAa,CONNECTIONS,Sharing this piece on Translator's Notes — worth reading if you work on similar questions.,https://example.com/media/share-translator-s-notes.png
1840-10-09 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-812_activity-7000000000000014-AaAa,PUBLIC,Sharing this piece on electromagnetic induction — worth reading if you work on similar questions.,
1841-08-27 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-523_activity-7000000000000015-AaAa,PUBLIC,Sharing this piece on electromagnetic induction — worth reading if you work on similar questions.,
1843-11-13 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-925_activity-7000000000000016-AaAa,CONNECTIONS,Sharing this piece on electromagnetic induction — worth reading if you work on similar questions.,https://example.com/media/share-electromagnetic-induction.png
1851-05-09 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-689_activity-7000000000000017-AaAa,CONNECTIONS,Sharing this piece on operational-card notation — worth reading if you work on similar questions.,
1848-07-04 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-382_activity-7000000000000018-AaAa,PUBLIC,Sharing this piece on electromagnetic induction — worth reading if you work on similar questions.,https://example.com/media/share-electromagnetic-induction.png
1841-08-21 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-527_activity-7000000000000019-AaAa,PUBLIC,Sharing this piece on Jacquard loom patterns — worth reading if you work on similar questions.,https://example.com/media/share-jacquard-loom-patterns.png
1845-05-25 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-630_activity-7000000000000020-AaAa,PUBLIC,Sharing this piece on the symbolic logic debate — worth reading if you work on similar questions.,
1842-02-10 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-269_activity-7000000000000021-AaAa,CONNECTIONS,Sharing this piece on Bernoulli sequence programming — worth reading if you work on similar questions.,https://example.com/media/share-bernoulli-sequence-programming.png
1850-05-22 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-389_activity-7000000000000022-AaAa,PUBLIC,Sharing this piece on Bernoulli sequence programming — worth reading if you work on similar questions.,https://example.com/media/share-bernoulli-sequence-programming.png
1846-01-10 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-804_activity-7000000000000023-AaAa,CONNECTIONS,Sharing this piece on the symbolic logic debate — worth reading if you work on similar questions.,
1840-03-11 00:00:00 UTC,https://www.linkedin.com/posts/fake-persona-616_activity-7000000000000024-AaAa,PUBLIC,Sharing this piece on electromagnetic induction — worth reading if you work on similar questions.,https://example.com/media/share-electromagnetic-induction.png
