Organization,Followed On
Royal Society,24 Aug 2019
Royal Institution,16 Aug 2023
Royal Astronomical Society,11 Sep 2020
Royal Geographical Society,25 Aug 2020
British Association for the Advancement of Science,27 Mar 2020
Linnean Society,27 Nov 2022
Geological Society of London,27 Dec 2022
"Trinity College, Cambridge",19 Nov 2023
King's College London,16 Jan 2024
University College London,17 Sep 2022
University of Edinburgh,03 Sep 2021
Royal Greenwich Observatory,13 Mar 2023
Admiralty,12 Mar 2022
Her Majesty's Treasury,04 May 2022
General Post Office,26 Jan 2024
Analytical Engines (stealth),16 May 2019
Difference Engine Company,03 Mar 2022
Household Words,26 Oct 2022
Punch Magazine,15 Dec 2023
Mechanics' Institute,21 Jan 2024
Board of Longitude,26 Oct 2023
Great Western Railway,11 Feb 2020
London and Birmingham Railway,09 Jun 2024
East India Company,14 Mar 2021
British Museum,21 Apr 2021
Royal Society,20 Aug 2024
Royal Institution,08 Oct 2019
Royal Astronomical Society,21 Nov 2023
Royal Geographical Society,04 Jul 2021
British Association for the Advancement of Science,22 Feb 2022
Linnean Society,08 Apr 2020
Geological Society of London,11 Dec 2022
"Trinity College, Cambridge",02 Aug 2019
King's College London,26 Nov 2020
University College London,14 May 2022
University of Edinburgh,08 Jul 2024
Royal Greenwich Observatory,04 Jun 2020
Admiralty,02 Apr 2021
Her Majesty's Treasury,13 Apr 2023
General Post Office,08 Mar 2019
Analytical Engines (stealth),07 Jan 2021
Difference Engine Company,04 Jun 2019
Household Words,06 Nov 2022
Punch Magazine,02 Feb 2019
Mechanics' Institute,04 Oct 2023
Board of Longitude,21 Jun 2020
Great Western Railway,08 May 2023
London and Birmingham Railway,05 Jan 2024
East India Company,23 Mar 2019
British Museum,12 Mar 2023
Royal Society,01 Aug 2020
Royal Institution,15 Apr 2023
